,"Ouest","Léogâne","Léogâne","11ème Gros Morne","Mardis Gras","CNIGS","2157","-72.581235","18.41322"
,"Ouest","Léogâne","Léogâne","11ème Gros Morne","Corail de Mere","CNIGS","2158","-72.607405","18.457799"
,"Ouest","Léogâne","Léogâne","12ème Cormiers","Cabaret","CNIGS","2196","-72.609714","18.398235"
,"Ouest","Léogâne","Léogâne","12ème Cormiers","Cornier","CNIGS","2197","-72.637495","18.419564"
,"Ouest","Léogâne","Léogâne","12ème Cormiers","La vache","CNIGS","2198","-72.595751","18.388576"
,"Ouest","Léogâne","Léogâne","12ème Cormiers","Fond Droit","CNIGS","2199","-72.582364","18.404925"
,"Ouest","Léogâne","Léogâne","12ème Cormiers","Barrière Batin","CNIGS","2200","-72.616327","18.416148"
,"Ouest","Léogâne","Léogâne","12ème Cormiers","Gué Bourget","CNIGS","2201","-72.629874","18.423281"
,"Ouest","Léogâne","Léogâne","12ème Cormiers","Cotin","CNIGS","2202","-72.596824","18.379431"
,"Ouest","Léogâne","Léogâne","12ème Cormiers","Jermeil","CNIGS","2203","-72.619092","18.412588"
,"Ouest","Léogâne","Léogâne","12ème Cormiers","Sonson","CNIGS","2204","-72.620213","18.39433"
,"Ouest","Léogâne","Léogâne","12ème Cormiers","Cormier","CNIGS","2205","-72.59752","18.40771"
,"Ouest","Léogâne","Léogâne","12ème Cormiers","Cormier","CNIGS","2206","-72.620922","18.443256"
,"Ouest","Léogâne","Léogâne","13ème Petit Harpon","La crête","CNIGS","305","-72.63099","18.3624"
,"Ouest","Léogâne","Léogâne","13ème Petit Harpon","La Crête","CNIGS","306","-72.611549","18.38322"
,"Ouest","Léogâne","Léogâne","13ème Petit Harpon","Dodel","CNIGS","307","-72.607588","18.359678"
,"Ouest","Léogâne","Léogâne","13ème Petit Harpon","Pain de Sucre","CNIGS","308","-72.629287","18.350637"
,"Ouest","Léogâne","Léogâne","13ème Petit Harpon","Platon Tapion","CNIGS","309","-72.606858","18.343998"
,"Ouest","Léogâne","Léogâne","13ème Petit Harpon","Ficha","CNIGS","310","-72.616278","18.370897"
,"Ouest","Léogâne","Léogâne","13ème Petit Harpon","Rechalet","CNIGS","311","-72.609705","18.327497"
,"Ouest","Léogâne","Léogâne","14ème Fond de Boudin","La Ferme","CNIGS","2737","-72.635707","18.389709"
,"Ouest","Léogâne","Léogâne","14ème Fond de Boudin","Tiapon","CNIGS","2738","-72.599094","18.36919"
,"Ouest","Léogâne","Léogâne","14ème Fond de Boudin","Corail","CNIGS","2739","-72.658984","18.35721"
,"Ouest","Léogâne","Léogâne","15ème Palmiste à Vins","Bois Carré","CNIGS","2186","-72.676039","18.436199"
,"Ouest","Léogâne","Léogâne","15ème Palmiste à Vins","Bon Crabe","CNIGS","2187","-72.677781","18.412863"
,"Ouest","Léogâne","Léogâne","15ème Palmiste à Vins","Lorin","CNIGS","2188","-72.63538","18.444756"
,"Ouest","Léogâne","Léogâne","15ème Palmiste à Vins","L'acul","CNIGS","2189","-72.671813","18.445694"
